Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,Denmark,7.526,1.442,1.164,0.795,0.579,0.362,0.445
2,Switzerland,7.509,1.527,1.145,0.863,0.586,0.281,0.412
3,Iceland,7.501,1.427,1.183,0.867,0.566,0.477,0.150
4,Norway,7.498,1.577,1.127,0.796,0.596,0.379,0.358
5,Finland,7.413,1.406,1.135,0.811,0.571,0.255,0.410
6,Canada,7.404,1.440,1.096,0.828,0.574,0.448,0.313
7,Netherlands,7.339,1.465,1.029,0.812,0.552,0.474,0.299
8,New Zealand,7.334,1.361,1.173,0.831,0.581,0.494,0.419
9,Australia,7.313,1.444,1.105,0.851,0.568,0.474,0.323
10,Sweden,7.291,1.452,1.088,0.831,0.582,0.383,0.409
11,Israel,7.267,1.338,0.995,0.849,0.364,0.323,0.087
12,Austria,7.119,1.450,1.084,0.806,0.544,0.329,0.213
13,United States,7.104,1.508,1.048,0.779,0.482,0.411,0.149
14,Costa Rica,7.087,1.069,1.022,0.761,0.552,0.226,0.105
15,Puerto Rico,7.039,1.359,1.081,0.778,0.468,0.222,0.123
16,Germany,6.994,1.448,1.098,0.815,0.535,0.305,0.286
17,Brazil,6.952,1.088,1.039,0.614,0.404,0.158,0.142
18,Belgium,6.929,1.425,1.052,0.820,0.514,0.242,0.262
19,Ireland,6.907,1.483,1.162,0.815,0.540,0.450,0.298
20,Luxembourg,6.871,1.698,1.040,0.845,0.549,0.276,0.353
21,Mexico,6.778,1.115,0.715,0.711,0.377,0.117,0.184
22,Singapore,6.739,1.646,0.868,0.947,0.488,0.327,0.470
23,United Kingdom,6.725,1.403,1.087,0.810,0.500,0.502,0.274
24,Chile,6.705,1.217,0.906,0.819,0.378,0.316,0.115
25,Panama,6.701,1.183,0.989,0.708,0.489,0.242,0.084
26,Argentina,6.650,1.151,1.066,0.697,0.423,0.110,0.073
27,Czech Republic,6.596,1.309,1.008,0.764,0.414,0.099,0.040
28,United Arab Emirates,6.573,1.574,0.871,0.730,0.562,0.266,0.356
29,Uruguay,6.545,1.182,1.031,0.722,0.544,0.181,0.214
30,Malta,6.488,1.308,1.099,0.803,0.550,0.562,0.176
31,Colombia,6.481,1.030,1.022,0.597,0.447,0.156,0.054
32,France,6.478,1.395,1.005,0.838,0.466,0.122,0.178
33,Thailand,6.474,1.089,1.045,0.649,0.496,0.587,0.028
34,Saudi Arabia,6.379,1.490,0.848,0.593,0.379,0.155,0.300
34,Taiwan,6.379,1.397,0.926,0.796,0.324,0.255,0.066
36,Qatar,6.375,1.824,0.880,0.717,0.567,0.324,0.480
37,Spain,6.361,1.343,1.129,0.879,0.375,0.177,0.061
38,Algeria,6.355,1.053,0.833,0.618,0.210,0.070,0.162
39,Guatemala,6.324,0.835,0.871,0.540,0.504,0.288,0.087
40,Suriname,6.269,1.097,0.779,0.509,0.522,0.167,0.127
41,Kuwait,6.239,1.617,0.878,0.636,0.432,0.160,0.237
42,Bahrain,6.218,1.440,0.944,0.657,0.474,0.171,0.258
43,Trinidad and Tobago,6.168,1.326,0.986,0.526,0.485,0.319,0.012
44,Venezuela,6.084,1.134,1.033,0.619,0.198,0.043,0.083
45,Slovakia,6.078,1.280,1.083,0.704,0.234,0.138,0.029
46,El Salvador,6.068,0.874,0.810,0.596,0.373,0.089,0.106
47,Malaysia,6.005,1.251,0.880,0.624,0.390,0.415,0.091
48,Nicaragua,5.992,0.694,0.895,0.652,0.466,0.298,0.163
49,Uzbekistan,5.987,0.736,1.168,0.502,0.608,0.343,0.283
50,Italy,5.977,1.355,1.042,0.851,0.188,0.167,0.026
51,Ecuador,5.976,0.973,0.860,0.686,0.403,0.101,0.180
52,Belize,5.956,0.876,0.687,0.456,0.512,0.237,0.108
53,Japan,5.921,1.380,1.061,0.915,0.468,0.102,0.190
54,Kazakhstan,5.919,1.229,0.955,0.574,0.405,0.150,0.111
55,Moldova,5.897,0.692,0.831,0.523,0.252,0.200,0.019
56,Russia,5.856,1.232,1.053,0.590,0.327,0.027,0.036
57,Poland,5.835,1.246,1.047,0.691,0.452,0.144,0.055
57,South Korea,5.835,1.359,0.722,0.886,0.252,0.188,0.077
59,Bolivia,5.822,0.794,0.838,0.470,0.510,0.217,0.077
60,Lithuania,5.813,1.269,1.064,0.647,0.189,0.020,0.018
61,Belarus,5.802,1.131,1.050,0.631,0.291,0.139,0.175
62,North Cyprus,5.771,1.311,0.818,0.841,0.436,0.263,0.166
63,Slovenia,5.768,1.299,1.056,0.792,0.532,0.257,0.036
64,Peru,5.743,0.996,0.813,0.630,0.375,0.145,0.053
65,Turkmenistan,5.658,1.080,1.038,0.440,0.374,0.226,0.285
66,Mauritius,5.648,1.144,0.757,0.662,0.461,0.370,0.052
67,Libya,5.615,1.067,0.951,0.523,0.407,0.171,0.103
68,Latvia,5.560,1.218,0.950,0.640,0.280,0.174,0.089
69,Cyprus,5.546,1.319,0.707,0.849,0.295,0.279,0.052
70,Paraguay,5.538,0.894,1.111,0.583,0.462,0.253,0.074
71,Romania,5.528,1.170,0.728,0.676,0.367,0.129,0.007
72,Estonia,5.517,1.280,1.052,0.681,0.415,0.084,0.185
73,Jamaica,5.510,0.893,0.964,0.595,0.436,0.222,0.043
74,Croatia,5.488,1.186,0.608,0.705,0.239,0.184,0.040
75,Hong Kong,5.458,1.511,0.870,0.953,0.481,0.401,0.316
76,Somalia,5.440,0.000,0.336,0.115,0.568,0.272,0.312
77,Kosovo,5.401,0.901,0.661,0.540,0.144,0.280,0.065
78,Turkey,5.389,1.165,0.877,0.647,0.239,0.047,0.123
79,Indonesia,5.314,0.951,0.876,0.494,0.392,0.565,0.003
80,Jordan,5.303,0.997,0.862,0.607,0.360,0.143,0.133
81,Azerbaijan,5.291,1.124,0.760,0.545,0.353,0.056,0.179
82,Philippines,5.279,0.812,0.879,0.470,0.549,0.217,0.118
83,China,5.245,1.028,0.794,0.736,0.440,0.050,0.027
84,Bhutan,5.196,0.853,0.908,0.498,0.461,0.485,0.162
85,Kyrgyzstan,5.185,0.560,0.954,0.554,0.402,0.384,0.048
86,Serbia,5.177,1.034,0.813,0.646,0.157,0.207,0.043
87,Bosnia and Herzegovina,5.163,0.934,0.644,0.708,0.095,0.299,0.000
88,Montenegro,5.161,1.078,0.742,0.635,0.151,0.172,0.127
89,Dominican Republic,5.155,1.028,0.995,0.577,0.523,0.213,0.124
90,Morocco,5.151,0.841,0.386,0.595,0.256,0.041,0.084
91,Hungary,5.145,1.241,0.932,0.676,0.198,0.099,0.045
92,Pakistan,5.132,0.688,0.261,0.403,0.146,0.312,0.139
93,Lebanon,5.129,1.123,0.642,0.762,0.262,0.237,0.031
94,Portugal,5.123,1.276,0.944,0.794,0.447,0.117,0.015
95,Macedonia,5.121,1.019,0.782,0.647,0.277,0.235,0.070
96,Vietnam,5.061,0.740,0.791,0.662,0.560,0.251,0.116
97,Somaliland Region,5.057,0.256,0.759,0.331,0.391,0.515,0.368
98,Tunisia,5.045,0.977,0.432,0.596,0.236,0.039,0.082
99,Greece,5.033,1.249,0.755,0.800,0.058,0.000,0.041
100,Tajikistan,4.996,0.488,0.756,0.531,0.434,0.260,0.135
101,Mongolia,4.907,0.989,1.090,0.555,0.360,0.345,0.033
102,Laos,4.876,0.680,0.550,0.383,0.522,0.431,0.224
103,Nigeria,4.875,0.752,0.645,0.051,0.279,0.232,0.031
104,Honduras,4.871,0.694,0.756,0.584,0.268,0.204,0.069
105,Iran,4.813,1.118,0.389,0.642,0.225,0.385,0.056
106,Zambia,4.795,0.612,0.638,0.236,0.427,0.179,0.115
107,Nepal,4.793,0.446,0.697,0.501,0.370,0.382,0.070
108,Palestinian Territories,4.754,0.670,0.716,0.568,0.177,0.112,0.106
109,Albania,4.655,0.955,0.502,0.730,0.319,0.168,0.053
110,Bangladesh,4.643,0.542,0.247,0.530,0.398,0.191,0.126
111,Sierra Leone,4.635,0.365,0.628,0.000,0.307,0.239,0.082
112,Iraq,4.575,1.075,0.592,0.511,0.249,0.196,0.136
113,Namibia,4.574,0.933,0.704,0.347,0.486,0.078,0.104
114,Cameroon,4.513,0.525,0.625,0.127,0.427,0.227,0.061
115,Ethiopia,4.508,0.293,0.379,0.346,0.367,0.295,0.172
116,South Africa,4.459,1.024,0.961,0.186,0.425,0.137,0.084
117,Sri Lanka,4.415,0.973,0.848,0.620,0.508,0.470,0.080
118,India,4.404,0.740,0.292,0.451,0.403,0.250,0.087
119,Myanmar,4.395,0.341,0.700,0.399,0.427,0.820,0.202
120,Egypt,4.362,0.954,0.498,0.521,0.188,0.127,0.104
121,Armenia,4.360,0.861,0.625,0.641,0.140,0.078,0.036
122,Kenya,4.356,0.523,0.762,0.301,0.406,0.413,0.067
123,Ukraine,4.324,0.873,1.014,0.586,0.129,0.204,0.018
124,Ghana,4.276,0.631,0.494,0.297,0.410,0.212,0.033
125,Congo (Kinshasa),4.272,0.057,0.807,0.188,0.156,0.255,0.061
126,Georgia,4.252,0.838,0.192,0.640,0.325,0.068,0.319
127,Congo (Brazzaville),4.236,0.771,0.478,0.282,0.379,0.121,0.098
128,Senegal,4.219,0.443,0.774,0.405,0.311,0.191,0.117
129,Bulgaria,4.217,1.113,0.925,0.678,0.212,0.128,0.006
130,Mauritania,4.201,0.614,0.841,0.286,0.127,0.227,0.180
131,Zimbabwe,4.193,0.350,0.715,0.160,0.254,0.185,0.086
132,Malawi,4.156,0.087,0.147,0.294,0.414,0.310,0.076
133,Sudan,4.139,0.631,0.819,0.298,0.000,0.181,0.100
134,Gabon,4.121,1.159,0.724,0.349,0.281,0.062,0.093
135,Mali,4.073,0.313,0.863,0.163,0.275,0.211,0.136
136,Haiti,4.028,0.341,0.296,0.275,0.121,0.480,0.145
137,Botswana,3.974,1.094,0.892,0.348,0.441,0.124,0.108
138,Comoros,3.956,0.275,0.603,0.300,0.154,0.183,0.184
139,Ivory Coast,3.916,0.555,0.576,0.045,0.407,0.203,0.155
140,Cambodia,3.907,0.556,0.538,0.425,0.589,0.403,0.081
141,Angola,3.866,0.847,0.664,0.050,0.006,0.121,0.084
142,Niger,3.856,0.133,0.605,0.262,0.380,0.210,0.172
143,South Sudan,3.832,0.394,0.185,0.158,0.197,0.259,0.130
144,Chad,3.763,0.422,0.632,0.038,0.128,0.187,0.050
145,Burkina Faso,3.739,0.320,0.631,0.213,0.334,0.244,0.125
145,Uganda,3.739,0.347,0.910,0.196,0.437,0.271,0.064
147,Yemen,3.724,0.579,0.475,0.310,0.229,0.098,0.059
148,Madagascar,3.695,0.280,0.461,0.371,0.137,0.220,0.075
149,Tanzania,3.666,0.472,0.776,0.357,0.318,0.315,0.051
150,Liberia,3.622,0.107,0.504,0.232,0.257,0.241,0.049
151,Guinea,3.607,0.224,0.311,0.188,0.310,0.299,0.119
152,Rwanda,3.515,0.328,0.616,0.319,0.543,0.236,0.505
153,Benin,3.484,0.395,0.104,0.210,0.397,0.202,0.067
154,Afghanistan,3.360,0.382,0.110,0.173,0.164,0.313,0.071
155,Togo,3.303,0.281,0.000,0.248,0.347,0.175,0.116
156,Syria,3.069,0.747,0.149,0.630,0.069,0.484,0.172
157,Burundi,2.905,0.068,0.234,0.157,0.043,0.203,0.094